occupation_code,year,employment
15-1252,2015,778900
15-1252,2016,812400
15-1252,2017,854100
15-1252,2018,901200
15-1252,2019,962800
15-1252,2020,1004200
15-1252,2021,1078400
15-1252,2022,1142800
15-1252,2023,1182600
15-1252,2024,1212400
15-1212,2015,82400
15-1212,2016,89100
15-1212,2017,98200
15-1212,2018,108400
15-1212,2019,121200
15-1212,2020,138400
15-1212,2021,158200
15-1212,2022,178100
15-1212,2023,191400
15-1212,2024,202800
15-2051,2015,38200
15-2051,2016,48100
15-2051,2017,62400
15-2051,2018,78200
15-2051,2019,98400
15-2051,2020,121400
15-2051,2021,142800
15-2051,2022,158400
15-2051,2023,178200
15-2051,2024,201400
29-1141,2015,2901400
29-1141,2016,2942800
29-1141,2017,2978200
29-1141,2018,3012400
29-1141,2019,3058100
29-1141,2020,3098400
29-1141,2021,3142800
29-1141,2022,3178400
29-1141,2023,3212400
29-1141,2024,3242800
29-1171,2015,142800
29-1171,2016,158400
29-1171,2017,178200
29-1171,2018,201400
29-1171,2019,228400
29-1171,2020,251200
29-1171,2021,278400
29-1171,2022,298200
29-1171,2023,318400
29-1171,2024,342800
29-2061,2015,712400
29-2061,2016,718200
29-2061,2017,721400
29-2061,2018,728400
29-2061,2019,732800
29-2061,2020,712400
29-2061,2021,698400
29-2061,2022,712400
29-2061,2023,728400
29-2061,2024,741200
31-1131,2015,1421400
31-1131,2016,1442800
31-1131,2017,1458200
31-1131,2018,1471400
31-1131,2019,1482800
31-1131,2020,1421400
31-1131,2021,1378400
31-1131,2022,1412800
31-1131,2023,1442800
31-1131,2024,1471400
25-2021,2015,1421400
25-2021,2016,1432800
25-2021,2017,1441200
25-2021,2018,1452800
25-2021,2019,1461400
25-2021,2020,1378400
25-2021,2021,1412800
25-2021,2022,1432800
25-2021,2023,1441400
25-2021,2024,1452800
25-1099,2015,1024000
25-1099,2016,1058400
25-1099,2017,1091200
25-1099,2018,1124000
25-1099,2019,1158400
25-1099,2020,1092800
25-1099,2021,1058400
25-1099,2022,1091200
25-1099,2023,1124800
25-1099,2024,1158400
13-2011,2015,1242800
13-2011,2016,1258400
13-2011,2017,1271200
13-2011,2018,1284000
13-2011,2019,1295200
13-2011,2020,1278400
13-2011,2021,1265800
13-2011,2022,1278400
13-2011,2023,1291200
13-2011,2024,1304000
13-2052,2015,278400
13-2052,2016,289100
13-2052,2017,302800
13-2052,2018,318400
13-2052,2019,332800
13-2052,2020,328400
13-2052,2021,318400
13-2052,2022,332800
13-2052,2023,342800
13-2052,2024,358400
13-1161,2015,592800
13-1161,2016,612400
13-1161,2017,632800
13-1161,2018,652400
13-1161,2019,672800
13-1161,2020,658400
13-1161,2021,672800
13-1161,2022,692400
13-1161,2023,712400
13-1161,2024,732800
11-2021,2015,272400
11-2021,2016,278400
11-2021,2017,285200
11-2021,2018,291800
11-2021,2019,298400
11-2021,2020,289100
11-2021,2021,278400
11-2021,2022,285200
11-2021,2023,291800
11-2021,2024,298400
47-2031,2015,712400
47-2031,2016,718400
47-2031,2017,722800
47-2031,2018,728400
47-2031,2019,732800
47-2031,2020,712400
47-2031,2021,698400
47-2031,2022,712400
47-2031,2023,718400
47-2031,2024,722800
47-2111,2015,562400
47-2111,2016,578400
47-2111,2017,592400
47-2111,2018,608400
47-2111,2019,624800
47-2111,2020,612400
47-2111,2021,598400
47-2111,2022,612400
47-2111,2023,628400
47-2111,2024,644800
47-2152,2015,371400
47-2152,2016,378400
47-2152,2017,384800
47-2152,2018,391200
47-2152,2019,398400
47-2152,2020,388400
47-2152,2021,378400
47-2152,2022,388400
47-2152,2023,398400
47-2152,2024,408400
49-9071,2015,1124000
49-9071,2016,1141400
49-9071,2017,1158400
49-9071,2018,1174000
49-9071,2019,1191200
49-9071,2020,1171400
49-9071,2021,1141400
49-9071,2022,1171400
49-9071,2023,1191200
49-9071,2024,1211800
53-3032,2015,1521400
53-3032,2016,1542800
53-3032,2017,1558400
53-3032,2018,1572400
53-3032,2019,1588400
53-3032,2020,1542800
53-3032,2021,1521400
53-3032,2022,1542800
53-3032,2023,1558400
53-3032,2024,1572400
35-2014,2015,1042800
35-2014,2016,1071400
35-2014,2017,1098400
35-2014,2018,1124000
35-2014,2019,1151400
35-2014,2020,892800
35-2014,2021,978400
35-2014,2022,1078400
35-2014,2023,1142800
35-2014,2024,1191200
35-3023,2015,2271400
35-3023,2016,2298400
35-3023,2017,2321400
35-3023,2018,2342800
35-3023,2019,2358400
35-3023,2020,2042800
35-3023,2021,2241400
35-3023,2022,2342800
35-3023,2023,2378400
35-3023,2024,2412800
